Object,In_time
car_in,2021-07-28 09:19:03
car_in,2021-07-28 09:21:04
bike_in,2021-07-28 09:21:14
bike_in,2021-07-28 09:24:42
bike_in,2021-07-28 09:24:48
bike_in,2021-07-28 09:24:55
bike_in,2021-07-28 09:24:59
bike_in,2021-07-28 09:25:06
bike_in,2021-07-28 09:25:09
bike_in,2021-07-28 09:25:20
bike_in,2021-07-28 09:27:21
bike_in,2021-07-28 09:27:26
bike_in,2021-07-28 09:27:32
bike_in,2021-07-28 09:27:38
bike_in,2021-07-28 09:27:54
bike_in,2021-07-28 09:27:58
bike_in,2021-07-28 09:28:00
car_in,2021-07-28 20:53:44
car_in,2021-07-28 20:53:49
car_in,2021-07-28 20:54:21
car_in,2021-07-28 23:55:02
car_in,2021-07-28 23:55:26
car_in,2021-07-28 23:55:38
